source,target,weight
Austria,Belgium,122
Austria,Bulgaria,5
Austria,Switzerland,175
Austria,Cyprus,6
Austria,Czech Republic,87
Austria,Germany,976
Austria,Denmark,202
Austria,Estonia,39
Austria,Spain,750
Austria,Finland,257
Austria,France,542
Austria,United Kingdom,518
Austria,Greece,29
Austria,Croatia,54
Austria,Hungary,35
Austria,Ireland,192
Austria,Iceland,42
Austria,Italy,393
Austria,Liechtenstein,7
Austria,Lithuania,20
Austria,Luxembourg,1
Austria,Latvia,13
Austria,Malta,27
Austria,Netherlands,301
Austria,Norway,170
Austria,Poland,55
Austria,Portugal,147
Austria,Romania,7
Austria,Sweden,439
Austria,Slovenia,33
Austria,Slovakia,18
Austria,Turkey,131
Belgium,Austria,168
Belgium,Bulgaria,22
Belgium,Switzerland,200
Belgium,Cyprus,35
Belgium,Czech Republic,127
Belgium,Germany,610
Belgium,Denmark,224
Belgium,Estonia,30
Belgium,Spain,1465
Belgium,Finland,300
Belgium,France,1163
Belgium,United Kingdom,649
Belgium,Greece,47
Belgium,Croatia,21
Belgium,Hungary,118
Belgium,Ireland,195
Belgium,Iceland,9
Belgium,Italy,544
Belgium,Liechtenstein,3
Belgium,Lithuania,44
Belgium,Luxembourg,93
Belgium,Latvia,10
Belgium,Malta,50
Belgium,Netherlands,500
Belgium,Norway,158
Belgium,Poland,121
Belgium,Portugal,299
Belgium,Romania,43
Belgium,Sweden,295
Belgium,Slovenia,53
Belgium,Slovakia,10
Belgium,Turkey,148
Bulgaria,Austria,82
Bulgaria,Belgium,71
Bulgaria,Switzerland,11
Bulgaria,Cyprus,1
Bulgaria,Czech Republic,89
Bulgaria,Germany,314
Bulgaria,Denmark,10
Bulgaria,Estonia,10
Bulgaria,Spain,163
Bulgaria,Finland,14
Bulgaria,France,133
Bulgaria,United Kingdom,108
Bulgaria,Greece,78
Bulgaria,Croatia,22
Bulgaria,Hungary,38
Bulgaria,Ireland,8
Bulgaria,Italy,112
Bulgaria,Lithuania,13
Bulgaria,Luxembourg,1
Bulgaria,Latvia,19
Bulgaria,Malta,32
Bulgaria,Netherlands,34
Bulgaria,Norway,9
Bulgaria,Poland,112
Bulgaria,Portugal,78
Bulgaria,Romania,12
Bulgaria,Sweden,29
Bulgaria,Slovenia,13
Bulgaria,Slovakia,27
Bulgaria,Turkey,114
Switzerland,Austria,131
Switzerland,Belgium,110
Switzerland,Bulgaria,6
Switzerland,Czech Republic,27
Switzerland,Germany,673
Switzerland,Denmark,113
Switzerland,Estonia,5
Switzerland,Spain,345
Switzerland,Finland,98
Switzerland,France,429
Switzerland,United Kingdom,311
Switzerland,Greece,3
Switzerland,Hungary,9
Switzerland,Ireland,75
Switzerland,Italy,170
Switzerland,Lithuania,7
Switzerland,Luxembourg,1
Switzerland,Malta,6
Switzerland,Netherlands,167
Switzerland,Poland,24
Switzerland,Portugal,46
Switzerland,Romania,4
Switzerland,Sweden,270
Switzerland,Slovenia,4
Switzerland,Slovakia,2
Cyprus,Austria,10
Cyprus,Belgium,28
Cyprus,Switzerland,4
