source,target,weight
Belgium,Belgium,0.14
Belgium,Bulgaria,0.57
Belgium,Czech Republic,1.93
Belgium,Denmark,2.49
Belgium,Germany,7.83
Belgium,Estonia,0.21
Belgium,Ireland,2.44
Belgium,Greece,1.8
Belgium,Spain,21.15
Belgium,France,8.74
Belgium,Croatia,0.28
Belgium,Italy,14.14
Belgium,Cyprus,0.16
Belgium,Latvia,0.77
Belgium,Lithuania,0.52
Belgium,Luxembourg,0.01
Belgium,Hungary,2.34
Belgium,Malta,0.33
Belgium,Netherlands,1.26
Belgium,Austria,1.83
Belgium,Poland,3.1
Belgium,Portugal,4.73
Belgium,Romania,2.26
Belgium,Slovenia,0.45
Belgium,Slovakia,0.35
Belgium,Finland,0.96
Belgium,Sweden,2.06
Belgium,United Kingdom,7.78
Belgium,Iceland,0
Belgium,Norway,1.2
Belgium,Switzerland,4.65
Belgium,Turkey,3.53
Bulgaria,Belgium,3.27
Bulgaria,Bulgaria,3.29
Bulgaria,Czech Republic,0.63
Bulgaria,Denmark,0.18
Bulgaria,Germany,19.79
Bulgaria,Estonia,0
Bulgaria,Ireland,0
Bulgaria,Greece,2.99
Bulgaria,Spain,6.29
Bulgaria,France,3.51
Bulgaria,Croatia,0.02
Bulgaria,Italy,8.86
Bulgaria,Cyprus,1.58
Bulgaria,Latvia,0
Bulgaria,Lithuania,0
Bulgaria,Luxembourg,0
Bulgaria,Hungary,0.02
Bulgaria,Malta,0.63
Bulgaria,Netherlands,3.72
Bulgaria,Austria,9.41
Bulgaria,Poland,1.49
Bulgaria,Portugal,0.02
Bulgaria,Romania,2.4
Bulgaria,Slovenia,0
Bulgaria,Slovakia,0
Bulgaria,Finland,0
Bulgaria,Sweden,0.94
Bulgaria,United Kingdom,23.61
Bulgaria,Iceland,0
Bulgaria,Norway,0
Bulgaria,Switzerland,0.82
Bulgaria,Turkey,6.51
Czech Republic,Belgium,5.49
Czech Republic,Bulgaria,0.31
Czech Republic,Czech Republic,1.19
Czech Republic,Denmark,1.86
Czech Republic,Germany,12.82
Czech Republic,Estonia,0
Czech Republic,Ireland,2.77
Czech Republic,Greece,1.1
Czech Republic,Spain,4.5
Czech Republic,France,10.33
Czech Republic,Croatia,0
Czech Republic,Italy,11.18
Czech Republic,Cyprus,0
Czech Republic,Latvia,0.4
Czech Republic,Lithuania,0.02
Czech Republic,Luxembourg,0
Czech Republic,Hungary,0.61
Czech Republic,Malta,0
Czech Republic,Netherlands,6.69
Czech Republic,Austria,1.93
Czech Republic,Poland,2.25
Czech Republic,Portugal,0.76
Czech Republic,Romania,0.91
Czech Republic,Slovenia,0.13
Czech Republic,Slovakia,0.8
Czech Republic,Finland,2.49
Czech Republic,Sweden,1.5
Czech Republic,United Kingdom,21.35
Czech Republic,Iceland,0
Czech Republic,Norway,1.3
Czech Republic,Switzerland,3.68
Czech Republic,Turkey,3.63
Denmark,Belgium,2.18
Denmark,Bulgaria,0.03
Denmark,Czech Republic,0.57
Denmark,Denmark,8.34
Denmark,Germany,11.92
Denmark,Estonia,0.41
Denmark,Ireland,0.97
Denmark,Greece,0.52
Denmark,Spain,9.82
Denmark,France,5.06
Denmark,Croatia,0.16
Denmark,Italy,3.41
Denmark,Cyprus,0
Denmark,Latvia,0.66
Denmark,Lithuania,0.85
Denmark,Luxembourg,0.29
Denmark,Hungary,0.42
Denmark,Malta,0.08
Denmark,Netherlands,5.96
Denmark,Austria,2.22
Denmark,Poland,2.07
Denmark,Portugal,1.08
Denmark,Romania,0.07
Denmark,Slovenia,0.05
Denmark,Slovakia,0
Denmark,Finland,3.03
Denmark,Sweden,7.67
Denmark,United Kingdom,12.79
Denmark,Iceland,1.43
Denmark,Norway,11.28
Denmark,Switzerland,3.44
Denmark,Turkey,3.22
Germany,Belgium,1.29
Germany,Bulgaria,0.6
Germany,Czech Republic,0.72
Germany,Denmark,2.24
Germany,Germany,18.77
Germany,Estonia,0.22
Germany,Ireland,1.18
Germany,Greece,1.47
Germany,Spain,14.72
Germany,France,5.23
Germany,Croatia,0.56
Germany,Italy,7.78
Germany,Cyprus,0.08
Germany,Latvia,0.55
Germany,Lithuania,0.28
Germany,Luxembourg,0.27
Germany,Hungary,1.03
Germany,Malta,0.34
Germany,Netherlands,2.92
Germany,Austria,5.34
Germany,Poland,2.62
Germany,Portugal,2.41
Germany,Romania,1.35
Germany,Slovenia,0.17
Germany,Slovakia,0
Germany,Finland,1.38
Germany,Sweden,2.34
Germany,United Kingdom,10.08
Germany,Iceland,0.17
Germany,Norway,1.31
Germany,Switzerland,5.07
Germany,Turkey,7.51
Estonia,Belgium,2.78
Estonia,Bulgaria,0
Estonia,Czech Republic,0
Estonia,Denmark,6.17
Estonia,Germany,17.68
Estonia,Estonia,0.99
Estonia,Ireland,0
Estonia,Greece,0
Estonia,Spain,2.32
Estonia,France,1.74
Estonia,Croatia,0
Estonia,Italy,4.05
Estonia,Cyprus,0
Estonia,Latvia,10
Estonia,Lithuania,3.59
Estonia,Luxembourg,0
Estonia,Hungary,0
Estonia,Malta,0
Estonia,Netherlands,5.12
Estonia,Austria,0.79
Estonia,Poland,1.87
Estonia,Portugal,0.3
Estonia,Romania,0
Estonia,Slovenia,0
Estonia,Slovakia,0
Estonia,Finland,14.54
Estonia,Sweden,6.47
Estonia,United Kingdom,8.73
Estonia,Iceland,0
Estonia,Norway,8.73
Estonia,Switzerland,0.23
Estonia,Turkey,3.9
Ireland,Belgium,2.26
