id,abbrev,total_from_eu
Belgium,BE,4180019
Bulgaria,BG,743273
Czech Republic,CZ,1463942
Denmark,DK,3782596
Germany,DE,18907110
Estonia,EE,307477
Ireland,IE,4811860
Greece,EL,1781014
Spain,ES,19266682
France,FR,12386300
Croatia,HR,344861
Italy,IT,13031678
Cyprus,CY,662119
Latvia,LV,732759
Lithuania,LT,611105
Luxembourg,LU,401244
Hungary,HU,1556000
Malta,MT,641653
Netherlands,NL,7526056
Austria,AT,3868011
Poland,PL,3991845
Portugal,PT,4327642
Romania,RO,2057098
Slovenia,SI,134661
Slovakia,SK,267554
Finland,FI,2250800
Sweden,SE,3864630
United Kingdom,UK,24417973
Iceland,IS,504321
Norway,NO,3914435
Switzerland,CH,7212146
Turkey,TR,5551740
