BrideCountryA,EU28A,OtherForeignA,NationalA,Total,EU28,National,BrideCountry
Luxembourg,132,69,698,899,0.147,0.776,LU
Slovakia,2271,693,21753,24717,0.092,0.880,SK
Lithuania,1122,1085,17303,19510,0.058,0.887,LT
Czech Republic,1596,774,39413,41783,0.038,0.943,CZ
Norway,640,521,15943,17104,0.037,0.932,NO
Slovenia,178,448,4933,5559,0.032,0.887,SI
Estonia,96,313,3845,4254,0.023,0.904,EE
Sweden,794,1076,35708,37578,0.021,0.950,SE
Finland,492,1152,22043,23687,0.021,0.931,FI
Montenegro,59,194,2656,2909,0.020,0.913,ME
Bulgaria,380,685,20213,21278,0.018,0.950,BG
Denmark,358,451,21360,22169,0.016,0.964,DK
Latvia,164,1186,8868,10218,0.016,0.868,LV
Romania,1630,1780,101794,105204,0.015,0.968,RO
Spain,2032,6878,127124,136034,0.015,0.935,ES
Netherlands,722,1219,51124,53065,0.014,0.963,NL
Serbia,471,520,33769,34760,0.014,0.971,RS
Hungary,390,271,35937,36598,0.011,0.982,HU
Poland,1846,1028,176440,179314,0.010,0.984,PL
Albania,238,201,22899,23338,0.010,0.981,AL
Greece,428,944,43254,44626,0.010,0.969,GR
Portugal,228,943,27422,28593,0.008,0.959,PT
FYROM,95,209,12857,13161,0.007,0.977,MK
Italy,1079,2811,167977,171867,0.006,0.977,IT
Croatia,17,42,17887,17946,0.001,0.997,HR
